Genre,Title,Movements,Year,Date,Natural Language Date,EDTF Date,Date Source,Where,Instrumentation,Orchestration,Estimated Duration,Manuscript Status French,Manuscript Status English,Collaborator?,Text Source,Scanned,Dedication,Notes,Premiere,Recording,Tempo Charted
Exercices/études,24 études et exercices pour le piano (faciles et assez faciles),,?,,,,,,Piano,,,inédit,Manuscript @ AD,,,X,,,,,
Exercices/études,"34 Études pour le basson: mélodiques, espressives ou a vitousité",,,,,,,,Bassoon,,,inédit,Manuscript @ AD,,,X,,Looks like she may have intended to reduce to 12. Definitive copy with Fernand Oubradous,,,
Exercices/études,64 leçons d’harmonie offertes à Jean Gallon,,1945-46,,1945-1946,1945/1946,,,,,,? (1953),,,,,,,,,
Exercices/études,A Child’s Avensong (piano),,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Exercices/études,"Alain, Françoise et leurs amis (récréation enfantine) pour piano",,?,,,,,,,,,"Editions Costallat, ?",,,,,,,,,
Exercices/études,"Bagatelles, 12 pièces sans difficultés (pour piano)",1- Bourée; 2- Gavotte; 3- Malagueña; 4- La Jota; 5- Danse Andalouse; 6- Rondo; 7- Menuet du Roy; 8- Chant Portugais; 9- Nuit de Noël; 10- Bergamesque; 11- Air et Bourdon; 12- Hongroise,1933,,1933,1933,Score,,Piano,,,"Editions de Paris, 1933",POP @ AD,,,"Only 2, 5, 8 and 9",,,,,
Exercices/études,Chanteclerc (piano),,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Exercices/études,"Disques, suites pour piano à deux mains",1- New-York Queenborough Bridge-Traffic (July 1930); 2- Mott Street at Night (November 1930); 3- Gouttes d’eau (August 1930); 4- Fifth-Avenue Bus (November 1931),1930; 1930; 1930; 1931,July; November; August; November,July 1930 to November 1931,"{1930-07, 1930-08, 1930-11, 1931-11}",Score,Forest Hills; Chinatown; Forest Hills; écrit dans l'autobus de la 5e Avenue. NY,Piano,,,"Editions de Paris, 1932",POP @ AD,,,X,No,,,,
Exercices/études,Ecole Moderne du Saxophone,,1931,,1931,1931,Score,,Alto Saxophone,,,"Alphonse Leduc, 1931",POP,"Maurice Decruck-author, revision by Fernande Breil",,X,,35 Etudes,,,
Exercices/études,"Enfantillages, 12 pièces très faciles pour amuser nos enfants (piano)",1- Ping-Pong; 2- Skating; 3- Yo-yo; 4- Croquemitaine; 5- Matamore; 6- L'ogre; 7- Le gouter; 8- Le Thé; 9- Patés de Sable; 10- Les Poilus; 11- Les Marins; 12- Les Flics,1933,7/14,"July 14, 1933",1933-07-14,Score,Garches,Piano,,,"Editions de Paris, 1933",POP @ JD,,,X,,,,,
